ID;,ENLACE PERMANENTE;,NOMBRE USUARIO;,@;,FECHA;,RETWEETS;,FAVORITO;,MENCIONA;,HASHTAGS;,GEO;,POLARIDAD;,SUBJETIVIDAD;,TEXTO
1227418121692205056;,https://twitter.com/lrsaa/status/1227418121692205056;,lrsaa;,benarquitecto;,2020-02-12 02:24:19+00:00;,0;,1;,;,;,;,0.0;,0.0;,b'This is a true coward who steals the illusions and the worst is that he wants to take the FIAVL.'
1222353606097108992;,https://twitter.com/efcb72e70e82463/status/1222353606097108992;,efcb72e70e82463;,None;,2020-01-29 02:59:44+00:00;,0;,0;,@efcb72e70e82463;,#FIAVL #OffLoja2019 #linearray #SonidoProfesional #RCF #QSC #SistemaLineArray #dBTecnhologiesProfessional #DjShow #dj #loja #artesvivas #FIAVL;,;,0.0;,0.0;,b'#FIAVL || '
1222352430605709318;,https://twitter.com/efcb72e70e82463/status/1222352430605709318;,efcb72e70e82463;,None;,2020-01-29 02:55:04+00:00;,0;,0;,@efcb72e70e82463;,#FIAVL #OffLoja2019 #linearray #SonidoProfesional #RCF #QSC #SistemaLineArray #dBTecnhologiesProfessional #DjShow #dj #loja #artesvivas #FIAVL;,;,0.0;,0.0;,b'#FIAVL || '
1220370736004636674;,https://twitter.com/DanielMorejonM/status/1220370736004636674;,DanielMorejonM;,None;,2020-01-23 15:40:31+00:00;,1;,6;,;,#FIAVL #ElTeatroBenjam;,;,0.1;,0.1;,b'The artistic activity in the best cultural scene of Ecuador does not stop. '
1219947825536143361;,https://twitter.com/LaPao_delaVega/status/1219947825536143361;,LaPao_delaVega;,mariaantonia888;,2020-01-22 11:40:01+00:00;,0;,1;,@mariaantonia888;,;,;,0.0;,0.0;,"b'@ mariaantonia888 agree, administratively the Theater is another process that must be observed in the relevant ways. '"
1219607933878767627;,https://twitter.com/santiagoaac/status/1219607933878767627;,santiagoaac;,None;,2020-01-21 13:09:25+00:00;,0;,0;,;,;,;,0.0;,0.0;,"b'B. Carrion Theater, Via a Catamayo. '"
1219394172513177600;,https://twitter.com/Cultura_Ec/status/1219394172513177600;,Cultura_Ec;,None;,2020-01-20 23:00:00+00:00;,6;,5;,;,;,;,0.06666666666666667;,0.08333333333333334;,b'NEWS | '
1219061982659317760;,https://twitter.com/lahoraecuador/status/1219061982659317760;,lahoraecuador;,None;,2020-01-20 01:00:00+00:00;,4;,4;,@FestivalDeLoja;,#Loja;,;,0.0;,0.0;,"b'The International Live Arts Festival of Loja (Fiavl) 2019, which completed its fourth edition, was given free rein for 11 days. '"
1218759271116165121;,https://twitter.com/gustavo_oso/status/1218759271116165121;,gustavo_oso;,juanfervelasco;,2020-01-19 04:57:08+00:00;,1;,4;,;,;,;,0.0;,0.0;,"b'By the way, as far as I remember, Minister during the IV FIAVL, you only came to the inauguration and gave your concert with the OSL, hence only a ministry work team remained the rest of the days since you shone for your absence in the rest '"
1218758561578278912;,https://twitter.com/gustavo_oso/status/1218758561578278912;,gustavo_oso;,juanfervelasco;,2020-01-19 04:54:19+00:00;,0;,4;,;,;,;,0.0;,0.0;,"b'Just as they are turning a blind eye in relation to the investigation of the bidding process of the IV FIAVL, also do it with the situation of the TBCM so that it can be used and have a space for the development of the culture of the '"
1218754385779527680;,https://twitter.com/gustavo_oso/status/1218754385779527680;,gustavo_oso;,juanfervelasco;,2020-01-19 04:37:43+00:00;,0;,4;,;,;,;,0.0;,0.0;,"b'2/2 I remind you, Mr. Minister, that even as a ministry, there is still an explanation to the people of La Paz about this trout process of the IV FIAVL, since it is not known if anything really about the investigation, which are responsible and if they were sanctioned.'"
1218596233020874754;,https://twitter.com/KatycitaPC/status/1218596233020874754;,KatycitaPC;,juanfervelasco;,2020-01-18 18:09:17+00:00;,0;,3;,;,;,;,0.0;,0.0;,b'FIAVL a success ?! '
1218577617626062848;,https://twitter.com/juanfervelasco/status/1218577617626062848;,juanfervelasco;,None;,2020-01-18 16:55:18+00:00;,48;,82;,;,;,;,0.1;,0.1;,b'4/4 We completed with great success the FIAVL 2019 and we just opened last week the permanent exhibition of the Cultural Center and Museum of Loja. '
1218550098067697665;,https://twitter.com/LojaVAPorTi/status/1218550098067697665;,LojaVAPorTi;,t_saval;,2020-01-18 15:05:57+00:00;,1;,3;,;,#Loja;,;,0.0;,0.0;,"b'Madam seems to forget that thanks to the timely intervention of Ver\xc3\xb3nica Arias, they did not take away the Festival of Living Arts. '"
1217840940632760321;,https://twitter.com/DominicanosNYC/status/1217840940632760321;,DominicanosNYC;,None;,2020-01-16 16:08:01+00:00;,0;,0;,;,;,;,0.0;,0.0;,b'Partial FIAVL results are encouraging https://www.dominicanos.nyc/2020/01/15/resultados-parciales-de-fiavl-son-alentadores/'
1217648836698611712;,https://twitter.com/cadenaecotel/status/1217648836698611712;,cadenaecotel;,None;,2020-01-16 03:24:40+00:00;,0;,1;,@eluniversocom;,;,;,0.0;,0.0;,b'FIAVL partial results are encouraging https://www.eluniverso.com/entretention/2020/01/16/nota/7692438/resultados-parciales-fiavl-son-alentadores?&utm_source=twitter&utm_medium=social-media&utm_campaign=addtoany by @eluniversocom'
1217494013428862977;,https://twitter.com/sur_loja/status/1217494013428862977;,sur_loja;,None;,2020-01-15 17:09:27+00:00;,6;,9;,;,#Loja #FIAVL #CanalSurLoja;,;,0.21428571428571427;,0.6428571428571429;,b'Results of the last International Festival of Living Arts! '
