ID;ENLACE PERMANENTE;NOMBRE USUARIO;@;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO;
;;;;;;;;;;;
1,23E+18;https://twitter.com/lrsaa/status/1227418121692205056;lrsaa;benarquitecto;2020-02-12 02:24:19+00:00;0;1;;;;b'Este si es un verdadero cobarde que roba las ilusiones y lo peor es que quiere llevarse el FIAVL.';
;;;;;;;;;;;
1,22E+18;https://twitter.com/efcb72e70e82463/status/1222353606097108992;efcb72e70e82463;None;2020-01-29 02:59:44+00:00;0;0;,@efcb72e70e82463;,#FIAVL #OffLoja2019 #linearray #SonidoProfesional #RCF #QSC #SistemaLineArray #dBTecnhologiesProfessional #DjShow #dj #loja #artesvivas #FIAVL;,;,b'#FIAVL || #OffLoja2019 Somos @efcb72e70e82463 Sonido #linearray Profesional en Loja #SonidoProfesional #RCF #QSC ##SistemaLineArray #dBTecnhologiesProfessional #DjShow #dj #loja #artesvivas #FIAVL\xe2\x80\xa6 https://www.instagram.com/p/B74z7JDAQx0/?igshid=pal7cdvlnc8h';
;;;;;;;;;;;
1,22E+18;,https://twitter.com/efcb72e70e82463/status/1222352430605709318;,efcb72e70e82463;,None;,2020-01-29 02:55:04+00:00;0;0;,@efcb72e70e82463;,#FIAVL #OffLoja2019 #linearray #SonidoProfesional #RCF #QSC #SistemaLineArray #dBTecnhologiesProfessional #DjShow #dj #loja #artesvivas #FIAVL;,;,b'#FIAVL || #OffLoja2019 Somos @efcb72e70e82463 Sonido #linearray Profesional en Loja #SonidoProfesional #RCF #QSC ##SistemaLineArray #dBTecnhologiesProfessional #DjShow #dj #loja #artesvivas #FIAVL\xe2\x80\xa6 https://www.instagram.com/p/B74zYuRADZm/?igshid=1bt3br60nc5rm';
;;;;;;;;;;;
1,22E+18;,https://twitter.com/DanielMorejonM/status/1220370736004636674;,DanielMorejonM;,None;,2020-01-23 15:40:31+00:00;0,1;0,6;,;,#FIAVL #ElTeatroBenjam;,;,b'La actividad art\xc3\xadstica en el mejor escenario cultural del Ecuador no para. Pronto y al fin se superar\xc3\xa1n y se dar\xc3\xa1n soluci\xc3\xb3n a inconvenientes heredados en su proceso de construcci\xc3\xb3n. Si no conoce el Benjam\xc3\xadn Carri\xc3\xb3n y el #FIAVL no conoce Loja. #ElTeatroBenjam\xc3\xadnCarri\xc3\xb3nTeEspera';
;;;;;;;;;;;
1,22E+18;,https://twitter.com/LaPao_delaVega/status/1219947825536143361;,LaPao_delaVega;,mariaantonia888;,2020-01-22 11:40:01+00:00;0;0,1;,@mariaantonia888;,;,;",""b'@mariaantonia888 de acuerdo, administrativamente el Teatro es otro proceso que debe ser observado por las v\xc3\xadas pertinentes. Pero como proyecto, como infraestructura, su raz\xc3\xb3n de ser est\xc3\xa1 ligada al primer FIAVL.'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/santiagoaac/status/1219607933878767627;,santiagoaac;,None;,2020-01-21 13:09:25+00:00;0;0;;;,;",""b'Teatro B. Carrion, V\xc3\xada a Catamayo. Falta que ahora se cancele la proyecci\xc3\xb3n del e\xc3\xb3lico y bajen a 0 la inversi\xc3\xb3n del FIAVL para que podamos comenzar a pensar en que desean que nos emancipemos a la fuerza.'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/Cultura_Ec/status/1219394172513177600;,Cultura_Ec;,None;,2020-01-20 23:00:00+00:00;0,6;0,5;,;,;,;",""b'NOTICIA | Observatorio Cultural Ciudadano de Loja entreg\xc3\xb3 resultados del 4to. FIAVL 2019 El levantamiento de la informaci\xc3\xb3n entregada est\xc3\xa1 relacionada en los \xc3\xa1mbitos de educaci\xc3\xb3n, cultura, participaci\xc3\xb3n social, empresas, econom\xc3\xada y turismo(...) M\xc3\xa1s https://bit.ly/2RdXtEh'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/lahoraecuador/status/1219061982659317760;,lahoraecuador;,None;,2020-01-20 01:00:00+00:00;0,4;0,4;,@FestivalDeLoja;,#Loja;,;",""b'Durante 11 d\xc3\xadas se dio rienda suelta al Festival Internacional de Artes Vivas de Loja (Fiavl) 2019, que cumpli\xc3\xb3 su cuarta edici\xc3\xb3n. @FestivalDeLoja #Loja http://bit.ly/2v6Say1'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/gustavo_oso/status/1218759271116165121;,gustavo_oso;,juanfervelasco;,2020-01-19 04:57:08+00:00;0,1;0,4;,;,;,;",""b'Por cierto, hasta donde recuerdo se\xc3\xb1or ministro durante el IV FIAVL solo vino a la inauguraci\xc3\xb3n y a dar su concierto con la OSL, de ah\xc3\xad solo un equipo de trabajo del ministerio se mantuvo el resto de d\xc3\xadas ya que usted brill\xc3\xb3 por su ausencia en el resto de d\xc3\xadas de festival.'""";
;;;;;;;;;;;
